x,y
10000.0,10000.0
108.0,111.0
82.0,249.0
241.0,525.0
467.0,632.0
587.0,495.0
616.0,265.0
416.0,159.0
10000.0,10000.0
218.0,213.0
199.0,315.0
279.0,424.0
373.0,500.0
467.0,441.0
496.0,316.0
356.0,207.0
10000.0,10000.0
307.0,285.0
335.0,397.0
416.0,391.0
391.0,319.0
10000.0,10000.0
287.0,277.0
298.0,317.0
347.0,402.0
436.0,368.0
386.0,277.0
10000.0,10000.0
120.0,636.0
89.0,653.0
85.0,667.0
83.0,684.0
94.0,708.0
128.0,717.0
166.0,710.0
177.0,682.0
170.0,659.0
10000.0,10000.0
85.0,602.0
76.0,649.0
91.0,669.0
122.0,687.0
162.0,687.0
174.0,675.0
178.0,655.0
177.0,628.0
157.0,601.0
142.0,592.0
10000.0,10000.0
392.0,91.0
456.0,106.0
525.0,135.0
586.0,174.0
633.0,207.0
667.0,263.0
683.0,331.0
686.0,362.0
674.0,438.0
668.0,489.0
678.0,538.0
728.0,578.0
742.0,582.0
760.0,587.0
836.0,610.0
904.0,628.0
1089.0,649.0
1119.0,626.0
1200.0,498.0
1252.0,452.0
1367.0,319.0
1378.0,179.0
1354.0,118.0
1233.0,64.0
1042.0,84.0
800.0,78.0
754.0,71.0
500.0,55.0
384.0,38.0
363.0,70.0
10000.0,10000.0
644.0,145.0
722.0,190.0
775.0,250.0
776.0,254.0
808.0,335.0
819.0,401.0
864.0,498.0
935.0,521.0
965.0,520.0
1068.0,470.0
1144.0,409.0
1268.0,278.0
1262.0,215.0
1120.0,202.0
1030.0,178.0
764.0,134.0
637.0,92.0
525.0,83.0
540.0,110.0
10000.0,10000.0
820.0,210.0
875.0,290.0
900.0,362.0
972.0,405.0
994.0,402.0
1055.0,378.0
1105.0,256.0
1045.0,222.0
986.0,214.0
887.0,186.0
792.0,167.0
10000.0,10000.0
932.0,283.0
958.0,315.0
1010.0,318.0
1032.0,302.0
1029.0,263.0
999.0,249.0
958.0,240.0
912.0,238.0
10000.0,10000.0
660.0,644.0
765.0,684.0
789.0,690.0
954.0,754.0
1082.0,717.0
1152.0,694.0
1196.0,643.0
1218.0,609.0
1302.0,511.0
1369.0,492.0
1373.0,494.0
1452.0,573.0
1463.0,594.0
1447.0,696.0
1409.0,744.0
1319.0,762.0
1144.0,770.0
1055.0,787.0
974.0,784.0
860.0,778.0
832.0,778.0
655.0,726.0
624.0,696.0
612.0,622.0
10000.0,10000.0
156.0,560.0
221.0,603.0
279.0,628.0
324.0,649.0
334.0,654.0
425.0,666.0
477.0,664.0
552.0,634.0
588.0,656.0
590.0,714.0
585.0,729.0
442.0,749.0
341.0,751.0
333.0,753.0
158.0,766.0
109.0,751.0
40.0,642.0
46.0,556.0
47.0,498.0
45.0,401.0
78.0,418.0
124.0,489.0
10000.0,10000.0
